question,predicted_disease
I've had loss of appetite since last night. Could it be due to lack of sleep?,Hepatitis
"Whenever I walking, I experience joint pain. Is this a medical condition?",Arthritis
Can numbness be a sign of something serious?,Multiple sclerosis
"Recently, I noticed blisters, and it's getting worse. Should I be concerned?",Burns
"Recently, I noticed dizziness, and it's getting worse. Should I be concerned?",Dehydration
Is it normal to have loss of appetite along with weakness?,Hepatitis
I've been feeling loss of appetite for the past few days. What could be the reason?,Hepatitis
I've been feeling insomnia for the past few days. What could be the reason?,Restless leg syndrome
I've had chest pain since last night. Could it be due to dehydration?,Heart attack
"Whenever I walking, I experience nausea. Is this a medical condition?",Gastroenteritis
Experiencing high fever along with mild discomfort. Do I need to see a doctor?,Typhoid fever
I've been dealing with congestion for a week now. What should I do?,Sinusitis
Could insomnia be related to smoking?,Restless leg syndrome
"Whenever I climbing stairs, I experience wheezing. Is this a medical condition?",Bronchitis
I've been dealing with loss of appetite for a week now. What should I do?,Cancer
I've been dealing with blurred vision for a week now. What should I do?,Stroke
My arms has been loss of appetite. What could be causing this?,Depression
Could cough be related to smoking?,Asthma
Could fatigue be related to lack of exercise?,Anemia
Is it normal to have bloating along with weakness?,Celiac disease
Can stomach cramps be a sign of something serious?,IBS
Is it normal to have seizures along with fatigue?,Stroke
"Recently, I noticed cough, and it's getting worse. Should I be concerned?",Common cold
My arms has been muscle pain. What could be causing this?,Polymyositis
"Whenever I climbing stairs, I experience numbness. Is this a medical condition?",Diabetes
Can nausea be a sign of something serious?,Gastroenteritis
Could joint pain be related to alcohol consumption?,Arthritis
"Whenever I sitting for long hours, I experience insomnia. Is this a medical condition?",Restless leg syndrome
Experiencing numbness along with mild discomfort. Do I need to see a doctor?,Multiple sclerosis
I've been dealing with itching for a week now. What should I do?,Scabies
Can weakness be a sign of something serious?,Myasthenia gravis
I've been feeling redness for the past few days. What could be the reason?,Contact dermatitis
Experiencing memory loss along with mild discomfort. Do I need to see a doctor?,Dementia
Could numbness be related to lack of exercise?,Diabetes
Could weakness be related to alcohol consumption?,Myasthenia gravis
I've had blisters since last night. Could it be due to lack of sleep?,Burns
Can weakness be a sign of something serious?,Myasthenia gravis
My head has been seizures. What could be causing this?,Brain injury
Could bloating be related to lack of exercise?,Small intestine bacterial overgrowth SIBO
"Recently, I noticed congestion, and it's getting worse. Should I be concerned?",Allergies
My head has been confusion. What could be causing this?,Stroke
My chest has been constipation. What could be causing this?,Hypothyroidism
Is it normal to have redness along with headache?,Lupus
"Whenever I sitting for long hours, I experience numbness. Is this a medical condition?",Multiple sclerosis
"Whenever I sitting for long hours, I experience headache. Is this a medical condition?",Migraine
"Recently, I noticed stomach cramps, and it's getting worse. Should I be concerned?",Menstrual cramps
Is it normal to have vomiting along with fatigue?,Migraine
Is it normal to have abdominal pain along with nausea?,Appendicitis
Could fatigue be related to high sugar intake?,Chronic Fatigue Syndrome
I've been dealing with wheezing for a week now. What should I do?,Asthma
My arms has been stomach cramps. What could be causing this?,Gastritis
Experiencing swelling along with mild discomfort. Do I need to see a doctor?,Angioedema
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Cholera
"Whenever I climbing stairs, I experience difficulty breathing. Is this a medical condition?",Asthma
I've had memory loss since last night. Could it be due to seasonal changes?,Dementia
Is it normal to have headache along with nausea?,Meningitis
I've been feeling blurred vision for the past few days. What could be the reason?,Stroke
"Whenever I climbing stairs, I experience dizziness. Is this a medical condition?",Low blood pressure
I've had blurred vision since last night. Could it be due to lack of sleep?,Stroke
I've been feeling difficulty breathing for the past few days. What could be the reason?,Pulmonary edema
"Recently, I noticed difficulty breathing, and it's getting worse. Should I be concerned?",Pneumonia
Can swelling be a sign of something serious?,Arthritis
Can chills be a sign of something serious?,Pneumonia
My arms has been dizziness. What could be causing this?,Vertigo
"Whenever I sitting for long hours, I experience vomiting. Is this a medical condition?",Motion sickness
I've been dealing with fatigue for a week now. What should I do?,Anemia
Can high fever be a sign of something serious?,Dengue
Is it normal to have shortness of breath along with dizziness?,Pneumonia
My legs has been cough. What could be causing this?,Common cold
My chest has been cough. What could be causing this?,Tuberculosis
My back has been blisters. What could be causing this?,Herpes
I've been dealing with insomnia for a week now. What should I do?,Depression
I've been dealing with muscle pain for a week now. What should I do?,Viral infection flu
I've been feeling blisters for the past few days. What could be the reason?,Contact dermatitis
I've been dealing with high fever for a week now. What should I do?,Dengue
Can redness be a sign of something serious?,Rosacea
"Whenever I sitting for long hours, I experience difficulty breathing. Is this a medical condition?",Heart failure
Is it normal to have confusion along with fatigue?,Brain infection encephalitis
Can nausea be a sign of something serious?,Gastroenteritis
"Recently, I noticed itching, and it's getting worse. Should I be concerned?",Eczema
"Whenever I walking, I experience blurred vision. Is this a medical condition?",Retinal detachment
Is it normal to have seizures along with fatigue?,Epilepsy
Can swelling be a sign of something serious?,Cellulitis
My stomach has been weakness. What could be causing this?,Malnutrition
"Whenever I sitting for long hours, I experience congestion. Is this a medical condition?",Sinusitis
I've had cough since last night. Could it be due to stress?,Tuberculosis
My head has been blurred vision. What could be causing this?,Stroke
Can sweating be a sign of something serious?,Menopause
Could high fever be related to high sugar intake?,Malaria
I've been dealing with confusion for a week now. What should I do?,Stroke
I've had weight loss since last night. Could it be due to poor diet?,Cancer
Could wheezing be related to high sugar intake?,Bronchitis
Is it normal to have weakness along with fatigue?,Malnutrition
Is it normal to have wheezing along with headache?,Asthma
"Whenever I climbing stairs, I experience constipation. Is this a medical condition?",Dehydration
Could muscle pain be related to high sugar intake?,Polymyositis
Can diarrhea be a sign of something serious?,Irritable Bowel Syndrome IBS
I've had headache since last night. Could it be due to seasonal changes?,Tension headache
Is it normal to have weakness along with fatigue?,Stroke
Could weight loss be related to alcohol consumption?,Tuberculosis
Can redness be a sign of something serious?,Sunburn
I've been dealing with fatigue for a week now. What should I do?,Anemia
Could stomach cramps be related to high sugar intake?,Menstrual cramps
Is it normal to have constipation along with fatigue?,Dehydration
I've been feeling constipation for the past few days. What could be the reason?,Hypothyroidism
I've had shortness of breath since last night. Could it be due to lack of sleep?,Pulmonary embolism
Could high fever be related to high sugar intake?,Influenza
I've been feeling joint pain for the past few days. What could be the reason?,Arthritis
"Whenever I walking, I experience joint pain. Is this a medical condition?",Gout
Could excessive thirst be related to smoking?,Diabetes
Could insomnia be related to smoking?,Anxiety
"Whenever I walking, I experience chills. Is this a medical condition?",Malaria
My legs has been chest pain. What could be causing this?,Angina
My legs has been constipation. What could be causing this?,Hypothyroidism
I've been dealing with chills for a week now. What should I do?,Sepsis
Experiencing joint pain along with mild discomfort. Do I need to see a doctor?,Gout
I've been dealing with cough for a week now. What should I do?,Common cold
I've had insomnia since last night. Could it be due to poor diet?,Depression
Is it normal to have numbness along with dizziness?,Pinched nerve
Experiencing itching along with mild discomfort. Do I need to see a doctor?,Eczema
"Whenever I sitting for long hours, I experience constipation. Is this a medical condition?",Colon obstruction
I've had diarrhea since last night. Could it be due to seasonal changes?,Irritable Bowel Syndrome IBS
Is it normal to have joint pain along with nausea?,Arthritis
I've been feeling memory loss for the past few days. What could be the reason?,Vitamin B12 deficiency
I've had high fever since last night. Could it be due to lack of sleep?,Influenza
I've had swelling since last night. Could it be due to lack of sleep?,Cellulitis
Could chills be related to lack of exercise?,Pneumonia
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Gastroenteritis
My chest has been loss of appetite. What could be causing this?,Cancer
Experiencing swelling along with mild discomfort. Do I need to see a doctor?,Cellulitis
I've been feeling insomnia for the past few days. What could be the reason?,Anxiety
My chest has been headache. What could be causing this?,Meningitis
I've had cough since last night. Could it be due to lack of sleep?,Tuberculosis
I've been dealing with loss of appetite for a week now. What should I do?,Gastroenteritis
"Recently, I noticed wheezing, and it's getting worse. Should I be concerned?",Asthma
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Gastroenteritis
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Viral fever
My stomach has been fatigue. What could be causing this?,Chronic Fatigue Syndrome
I've had seizures since last night. Could it be due to seasonal changes?,Meningitis
"Whenever I sitting for long hours, I experience nausea. Is this a medical condition?",Food poisoning
I've had weakness since last night. Could it be due to seasonal changes?,Stroke
Is it normal to have rash along with weakness?,Psoriasis
I've been feeling loss of appetite for the past few days. What could be the reason?,Gastroenteritis
"Whenever I walking, I experience seizures. Is this a medical condition?",Brain injury
"Whenever I sitting for long hours, I experience abdominal pain. Is this a medical condition?",Appendicitis
Can dizziness be a sign of something serious?,Dehydration
Can swelling be a sign of something serious?,Blood clot
Experiencing sweating along with mild discomfort. Do I need to see a doctor?,Hyperthyroidism
I've been feeling diarrhea for the past few days. What could be the reason?,Cholera
"Whenever I exercising, I experience nausea. Is this a medical condition?",Pregnancy
"Whenever I sitting for long hours, I experience vomiting. Is this a medical condition?",Gastroenteritis
"Whenever I walking, I experience itching. Is this a medical condition?",Scabies
Can insomnia be a sign of something serious?,Depression
Experiencing blisters along with mild discomfort. Do I need to see a doctor?,Chickenpox
Experiencing blisters along with mild discomfort. Do I need to see a doctor?,Contact dermatitis
"Recently, I noticed difficulty breathing, and it's getting worse. Should I be concerned?",Asthma
I've been dealing with constipation for a week now. What should I do?,Dehydration
My head has been swelling. What could be causing this?,Arthritis
Could numbness be related to alcohol consumption?,Multiple sclerosis
Could rash be related to high sugar intake?,Chickenpox
I've had insomnia since last night. Could it be due to infection?,Anxiety
I've been feeling constipation for the past few days. What could be the reason?,Hypothyroidism
I've had body aches since last night. Could it be due to lack of sleep?,Viral fever
I've had rash since last night. Could it be due to poor diet?,Chickenpox
Could excessive thirst be related to high sugar intake?,Diabetes
Experiencing rash along with mild discomfort. Do I need to see a doctor?,Eczema
"Whenever I exercising, I experience swelling. Is this a medical condition?",Cellulitis
"Recently, I noticed sweating, and it's getting worse. Should I be concerned?",Menopause
Could bloating be related to smoking?,Celiac disease
I've been feeling itching for the past few days. What could be the reason?,Kidney disease
Is it normal to have cough along with fatigue?,Asthma
I've been dealing with excessive thirst for a week now. What should I do?,Kidney disease
Could diarrhea be related to smoking?,Food poisoning
"Recently, I noticed confusion, and it's getting worse. Should I be concerned?",Alzheimers
My stomach has been numbness. What could be causing this?,Pinched nerve
I've had memory loss since last night. Could it be due to infection?,Dementia
"Whenever I climbing stairs, I experience dizziness. Is this a medical condition?",Dehydration
I've been feeling swelling for the past few days. What could be the reason?,Arthritis
Could headache be related to alcohol consumption?,Tension headache
"Recently, I noticed chest pain, and it's getting worse. Should I be concerned?",Pneumonia
Experiencing chest pain along with mild discomfort. Do I need to see a doctor?,Heart attack
"Whenever I exercising, I experience itching. Is this a medical condition?",Scabies
My chest has been congestion. What could be causing this?,Influenza
I've been dealing with wheezing for a week now. What should I do?,Asthma
I've been feeling cough for the past few days. What could be the reason?,Common cold
Is it normal to have loss of appetite along with dizziness?,Hepatitis
I've been feeling shortness of breath for the past few days. What could be the reason?,Pulmonary embolism
Can stomach cramps be a sign of something serious?,Food poisoning
Could joint pain be related to alcohol consumption?,Arthritis
Can abdominal pain be a sign of something serious?,Gallstones
Could bloating be related to lack of exercise?,IBS
"Whenever I climbing stairs, I experience nausea. Is this a medical condition?",Pregnancy
"Whenever I climbing stairs, I experience difficulty breathing. Is this a medical condition?",Pulmonary edema
My stomach has been body aches. What could be causing this?,Influenza
"Whenever I sitting for long hours, I experience wheezing. Is this a medical condition?",Asthma
Experiencing nausea along with mild discomfort. Do I need to see a doctor?,Food poisoning
I've been feeling chest pain for the past few days. What could be the reason?,Pneumonia
Is it normal to have headache along with headache?,Migraine
I've had nausea since last night. Could it be due to dehydration?,Gastroenteritis
Can seizures be a sign of something serious?,Epilepsy
My legs has been weakness. What could be causing this?,Malnutrition
Is it normal to have excessive thirst along with nausea?,Diabetes
I've been dealing with loss of appetite for a week now. What should I do?,Depression
Could stomach cramps be related to smoking?,Food poisoning
I've had blisters since last night. Could it be due to dehydration?,Chickenpox
I've been dealing with excessive thirst for a week now. What should I do?,Diabetes
Can itching be a sign of something serious?,Fungal infections
Could wheezing be related to high sugar intake?,Anaphylaxis
My arms has been dizziness. What could be causing this?,Vertigo
Experiencing confusion along with mild discomfort. Do I need to see a doctor?,Brain infection encephalitis
I've had numbness since last night. Could it be due to lack of sleep?,Peripheral neuropathy
"Whenever I exercising, I experience confusion. Is this a medical condition?",Hypoglycemia
I've had cough since last night. Could it be due to stress?,Asthma
Experiencing headache along with mild discomfort. Do I need to see a doctor?,Hypertension
Experiencing dizziness along with mild discomfort. Do I need to see a doctor?,Dehydration
Could chest pain be related to smoking?,Pneumonia
My back has been fatigue. What could be causing this?,Depression
I've been feeling body aches for the past few days. What could be the reason?,Lyme disease
"Whenever I climbing stairs, I experience cough. Is this a medical condition?",Common cold
Can seizures be a sign of something serious?,Stroke
I've been feeling high fever for the past few days. What could be the reason?,Typhoid fever
I've been dealing with rash for a week now. What should I do?,Psoriasis
Is it normal to have stomach cramps along with headache?,IBS
Can sweating be a sign of something serious?,Anxiety
I've had difficulty breathing since last night. Could it be due to poor diet?,Asthma
Could blisters be related to smoking?,Herpes
My stomach has been loss of appetite. What could be causing this?,Cancer
My chest has been cough. What could be causing this?,Asthma
"Whenever I exercising, I experience nausea. Is this a medical condition?",Food poisoning
I've been feeling nausea for the past few days. What could be the reason?,Pregnancy
Can high fever be a sign of something serious?,Dengue
I've been dealing with muscle pain for a week now. What should I do?,Polymyositis
My arms has been swelling. What could be causing this?,Blood clot
I've been dealing with diarrhea for a week now. What should I do?,Crohns disease
Could weight loss be related to smoking?,Cancer
"Recently, I noticed vomiting, and it's getting worse. Should I be concerned?",Motion sickness
Experiencing numbness along with mild discomfort. Do I need to see a doctor?,Pinched nerve
My stomach has been seizures. What could be causing this?,Meningitis
I've been dealing with fatigue for a week now. What should I do?,Depression
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Stroke
Could headache be related to high sugar intake?,Tension headache
Could constipation be related to smoking?,Colon obstruction
My back has been headache. What could be causing this?,Meningitis
I've had rash since last night. Could it be due to lack of sleep?,Eczema
Can sweating be a sign of something serious?,Menopause
Can swelling be a sign of something serious?,Blood clot
I've been feeling constipation for the past few days. What could be the reason?,Colon obstruction
My arms has been shortness of breath. What could be causing this?,Pneumonia
Could wheezing be related to alcohol consumption?,Anaphylaxis
I've been dealing with congestion for a week now. What should I do?,Sinusitis
Experiencing weight loss along with mild discomfort. Do I need to see a doctor?,Diabetes
Is it normal to have rash along with dizziness?,Eczema
Could difficulty breathing be related to lack of exercise?,Pulmonary edema
Can insomnia be a sign of something serious?,Depression
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Stroke
"Whenever I sitting for long hours, I experience dizziness. Is this a medical condition?",Low blood pressure
"Recently, I noticed fatigue, and it's getting worse. Should I be concerned?",Depression
Could seizures be related to alcohol consumption?,Stroke
Can cough be a sign of something serious?,Tuberculosis
Could weakness be related to alcohol consumption?,Malnutrition
"Recently, I noticed weight loss, and it's getting worse. Should I be concerned?",Diabetes
My arms has been dizziness. What could be causing this?,Anemia
I've had difficulty breathing since last night. Could it be due to lack of sleep?,Pneumonia
Can sweating be a sign of something serious?,Hyperthyroidism
My arms has been numbness. What could be causing this?,Peripheral neuropathy
Can nausea be a sign of something serious?,Pregnancy
My head has been high fever. What could be causing this?,Dengue
Could dizziness be related to alcohol consumption?,Low blood pressure
Can blisters be a sign of something serious?,Contact dermatitis
"Recently, I noticed chest pain, and it's getting worse. Should I be concerned?",Angina
Could memory loss be related to lack of exercise?,Alzheimers
I've been feeling blurred vision for the past few days. What could be the reason?,Retinal detachment
I've been feeling weakness for the past few days. What could be the reason?,Myasthenia gravis
My stomach has been chills. What could be causing this?,Pneumonia
I've been feeling insomnia for the past few days. What could be the reason?,Sleep apnea
Is it normal to have confusion along with weakness?,Stroke
I've had muscle pain since last night. Could it be due to stress?,Fibromyalgia
I've been dealing with body aches for a week now. What should I do?,Viral fever
I've been feeling diarrhea for the past few days. What could be the reason?,Crohns disease
My chest has been loss of appetite. What could be causing this?,Hepatitis
Could weakness be related to alcohol consumption?,Neuropathy
Experiencing wheezing along with mild discomfort. Do I need to see a doctor?,Anaphylaxis
I've had vomiting since last night. Could it be due to poor diet?,Gastroenteritis
I've had rash since last night. Could it be due to seasonal changes?,Allergic reaction
Can high fever be a sign of something serious?,Influenza
Could sweating be related to alcohol consumption?,Menopause
Experiencing high fever along with mild discomfort. Do I need to see a doctor?,Dengue
I've been feeling stomach cramps for the past few days. What could be the reason?,IBS
I've been feeling memory loss for the past few days. What could be the reason?,Dementia
I've been dealing with redness for a week now. What should I do?,Contact dermatitis
Could high fever be related to lack of exercise?,Dengue
I've been dealing with headache for a week now. What should I do?,Hypertension
Is it normal to have body aches along with fatigue?,Viral fever
I've had dizziness since last night. Could it be due to stress?,Low blood pressure
I've had high fever since last night. Could it be due to dehydration?,Influenza
I've had wheezing since last night. Could it be due to stress?,Anaphylaxis
"Whenever I climbing stairs, I experience diarrhea. Is this a medical condition?",Cholera
I've had bloating since last night. Could it be due to stress?,Lactose intolerance
Experiencing memory loss along with mild discomfort. Do I need to see a doctor?,Dementia
Can high fever be a sign of something serious?,Typhoid fever
I've had rash since last night. Could it be due to infection?,Psoriasis
"Whenever I sitting for long hours, I experience muscle pain. Is this a medical condition?",Polymyositis
Is it normal to have dizziness along with fatigue?,Vertigo
Can blurred vision be a sign of something serious?,Stroke
Can difficulty breathing be a sign of something serious?,Pulmonary edema
"Recently, I noticed weight loss, and it's getting worse. Should I be concerned?",Diabetes
"Recently, I noticed chills, and it's getting worse. Should I be concerned?",Malaria
I've been feeling high fever for the past few days. What could be the reason?,Malaria
Is it normal to have stomach cramps along with dizziness?,IBS
"Recently, I noticed cough, and it's getting worse. Should I be concerned?",Common cold
Could abdominal pain be related to alcohol consumption?,Peptic ulcer
Is it normal to have high fever along with fatigue?,Malaria
"Recently, I noticed excessive thirst, and it's getting worse. Should I be concerned?",Diabetes
"Whenever I sitting for long hours, I experience memory loss. Is this a medical condition?",Vitamin B12 deficiency
Can abdominal pain be a sign of something serious?,Gastritis
I've been feeling weakness for the past few days. What could be the reason?,Myasthenia gravis
My stomach has been redness. What could be causing this?,Lupus
Could stomach cramps be related to lack of exercise?,Menstrual cramps
Can insomnia be a sign of something serious?,Anxiety
Is it normal to have dizziness along with headache?,Anemia
Is it normal to have wheezing along with fatigue?,Anaphylaxis
My back has been chest pain. What could be causing this?,Angina
Is it normal to have chest pain along with weakness?,Angina
"Whenever I walking, I experience stomach cramps. Is this a medical condition?",Food poisoning
I've been dealing with vomiting for a week now. What should I do?,Migraine
Could blisters be related to high sugar intake?,Burns
"Recently, I noticed insomnia, and it's getting worse. Should I be concerned?",Anxiety
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Chickenpox
Can confusion be a sign of something serious?,Brain infection encephalitis
"Whenever I walking, I experience excessive thirst. Is this a medical condition?",Diabetes
I've had chills since last night. Could it be due to dehydration?,Malaria
"Recently, I noticed weight loss, and it's getting worse. Should I be concerned?",Diabetes
I've been feeling body aches for the past few days. What could be the reason?,Fibromyalgia
"Whenever I sitting for long hours, I experience high fever. Is this a medical condition?",Malaria
My back has been rash. What could be causing this?,Allergic reaction
Could swelling be related to smoking?,Angioedema
I've been feeling insomnia for the past few days. What could be the reason?,Sleep apnea
Can insomnia be a sign of something serious?,Sleep apnea
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Viral fever
"Whenever I climbing stairs, I experience stomach cramps. Is this a medical condition?",Menstrual cramps
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Kidney disease
I've been dealing with fatigue for a week now. What should I do?,Chronic Fatigue Syndrome
My stomach has been itching. What could be causing this?,Kidney disease
I've been feeling blurred vision for the past few days. What could be the reason?,Diabetes
My legs has been difficulty breathing. What could be causing this?,Pneumonia
Could body aches be related to lack of exercise?,Lyme disease
Is it normal to have rash along with nausea?,Allergic reaction
Is it normal to have dizziness along with headache?,Low blood pressure
I've been dealing with insomnia for a week now. What should I do?,Sleep apnea
I've had seizures since last night. Could it be due to infection?,Epilepsy
Experiencing weight loss along with mild discomfort. Do I need to see a doctor?,Hyperthyroidism
"Recently, I noticed stomach cramps, and it's getting worse. Should I be concerned?",Food poisoning
"Whenever I exercising, I experience weight loss. Is this a medical condition?",Hyperthyroidism
Can cough be a sign of something serious?,Tuberculosis
I've had rash since last night. Could it be due to seasonal changes?,Allergic reaction
My arms has been fatigue. What could be causing this?,Chronic Fatigue Syndrome
Can rash be a sign of something serious?,Psoriasis
Can headache be a sign of something serious?,Tension headache
"Whenever I walking, I experience constipation. Is this a medical condition?",Colon obstruction
Could vomiting be related to smoking?,Gastroenteritis
My head has been numbness. What could be causing this?,Multiple sclerosis
Experiencing difficulty breathing along with mild discomfort. Do I need to see a doctor?,Heart failure
"Recently, I noticed dizziness, and it's getting worse. Should I be concerned?",Anemia
"Whenever I climbing stairs, I experience chills. Is this a medical condition?",Sepsis
I've had headache since last night. Could it be due to dehydration?,Tension headache
Is it normal to have body aches along with weakness?,Lyme disease
I've been feeling blurred vision for the past few days. What could be the reason?,Glaucoma
Could memory loss be related to lack of exercise?,Alzheimers
I've been dealing with cough for a week now. What should I do?,Common cold
Could congestion be related to smoking?,Influenza
I've had vomiting since last night. Could it be due to infection?,Food poisoning
"Whenever I sitting for long hours, I experience joint pain. Is this a medical condition?",Gout
Is it normal to have loss of appetite along with weakness?,Gastroenteritis
Is it normal to have weight loss along with nausea?,Cancer
"Recently, I noticed sweating, and it's getting worse. Should I be concerned?",Anxiety
I've been feeling muscle pain for the past few days. What could be the reason?,Lyme disease
I've been dealing with dizziness for a week now. What should I do?,Low blood pressure
"Recently, I noticed wheezing, and it's getting worse. Should I be concerned?",Anaphylaxis
Can swelling be a sign of something serious?,Arthritis
"Whenever I sitting for long hours, I experience weakness. Is this a medical condition?",Stroke
I've been feeling difficulty breathing for the past few days. What could be the reason?,Pneumonia
Experiencing numbness along with mild discomfort. Do I need to see a doctor?,Pinched nerve
"Recently, I noticed chest pain, and it's getting worse. Should I be concerned?",Angina
I've been feeling fatigue for the past few days. What could be the reason?,Hypothyroidism
I've had stomach cramps since last night. Could it be due to poor diet?,Food poisoning
Could stomach cramps be related to lack of exercise?,Food poisoning
I've had difficulty breathing since last night. Could it be due to seasonal changes?,Pneumonia
I've had high fever since last night. Could it be due to dehydration?,Typhoid fever
"Whenever I exercising, I experience fatigue. Is this a medical condition?",Chronic Fatigue Syndrome
Is it normal to have insomnia along with headache?,Anxiety
Can difficulty breathing be a sign of something serious?,Heart failure
Can redness be a sign of something serious?,Lupus
"Recently, I noticed stomach cramps, and it's getting worse. Should I be concerned?",Food poisoning
Experiencing joint pain along with mild discomfort. Do I need to see a doctor?,Arthritis
Can abdominal pain be a sign of something serious?,Gallstones
I've been feeling abdominal pain for the past few days. What could be the reason?,Gallstones
Could weight loss be related to high sugar intake?,Hyperthyroidism
My chest has been wheezing. What could be causing this?,Asthma
Could muscle pain be related to high sugar intake?,Polymyositis
I've been feeling sweating for the past few days. What could be the reason?,Menopause
Can confusion be a sign of something serious?,Stroke
I've had confusion since last night. Could it be due to dehydration?,Brain infection encephalitis
I've had chest pain since last night. Could it be due to poor diet?,Angina
Experiencing itching along with mild discomfort. Do I need to see a doctor?,Kidney disease
"Whenever I walking, I experience blisters. Is this a medical condition?",Contact dermatitis
Can memory loss be a sign of something serious?,Vitamin B12 deficiency
"Recently, I noticed chills, and it's getting worse. Should I be concerned?",Pneumonia
"Recently, I noticed bloating, and it's getting worse. Should I be concerned?",Small intestine bacterial overgrowth SIBO
"Whenever I sitting for long hours, I experience confusion. Is this a medical condition?",Hypoglycemia
Can rash be a sign of something serious?,Chickenpox
Is it normal to have congestion along with nausea?,Sinusitis
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Stroke
Is it normal to have blisters along with headache?,Chickenpox
Is it normal to have chills along with fatigue?,Pneumonia
"Recently, I noticed difficulty breathing, and it's getting worse. Should I be concerned?",Asthma
Experiencing dizziness along with mild discomfort. Do I need to see a doctor?,Low blood pressure
"Recently, I noticed weight loss, and it's getting worse. Should I be concerned?",Hyperthyroidism
Experiencing wheezing along with mild discomfort. Do I need to see a doctor?,Asthma
I've been dealing with cough for a week now. What should I do?,Common cold
I've had weight loss since last night. Could it be due to seasonal changes?,Diabetes
Is it normal to have rash along with dizziness?,Allergic reaction
I've been dealing with wheezing for a week now. What should I do?,COPD
Experiencing nausea along with mild discomfort. Do I need to see a doctor?,Pregnancy
My back has been loss of appetite. What could be causing this?,Cancer
I've been feeling loss of appetite for the past few days. What could be the reason?,Hepatitis
My back has been insomnia. What could be causing this?,Anxiety
Is it normal to have bloating along with nausea?,Celiac disease
Experiencing abdominal pain along with mild discomfort. Do I need to see a doctor?,Gallstones
Could body aches be related to smoking?,Fibromyalgia
"Whenever I exercising, I experience loss of appetite. Is this a medical condition?",Depression
I've been dealing with redness for a week now. What should I do?,Contact dermatitis
Could seizures be related to lack of exercise?,Meningitis
I've had constipation since last night. Could it be due to dehydration?,Hypothyroidism
My chest has been memory loss. What could be causing this?,Alzheimers
Can constipation be a sign of something serious?,IBS
Experiencing wheezing along with mild discomfort. Do I need to see a doctor?,Bronchitis
Is it normal to have redness along with headache?,Rosacea
Could muscle pain be related to smoking?,Fibromyalgia
I've had nausea since last night. Could it be due to seasonal changes?,Pregnancy
"Recently, I noticed joint pain, and it's getting worse. Should I be concerned?",Rheumatoid arthritis
"Whenever I exercising, I experience weight loss. Is this a medical condition?",Tuberculosis
Can muscle pain be a sign of something serious?,Lyme disease
Could congestion be related to lack of exercise?,Sinusitis
Experiencing nausea along with mild discomfort. Do I need to see a doctor?,Gastroenteritis
"Whenever I walking, I experience loss of appetite. Is this a medical condition?",Hepatitis
Is it normal to have wheezing along with nausea?,Asthma
"Recently, I noticed weight loss, and it's getting worse. Should I be concerned?",Cancer
"Whenever I exercising, I experience memory loss. Is this a medical condition?",Dementia
"Whenever I climbing stairs, I experience congestion. Is this a medical condition?",Common cold
I've had sweating since last night. Could it be due to poor diet?,Tuberculosis
I've had headache since last night. Could it be due to dehydration?,Hypertension
Is it normal to have blurred vision along with dizziness?,Retinal detachment
I've been feeling constipation for the past few days. What could be the reason?,Colon obstruction
"Whenever I walking, I experience fatigue. Is this a medical condition?",Anemia
My stomach has been itching. What could be causing this?,Eczema
Could numbness be related to high sugar intake?,Multiple sclerosis
I've had fatigue since last night. Could it be due to poor diet?,Anemia
My back has been abdominal pain. What could be causing this?,Peptic ulcer
Experiencing congestion along with mild discomfort. Do I need to see a doctor?,Common cold
Can body aches be a sign of something serious?,Lyme disease
Can redness be a sign of something serious?,Contact dermatitis
"Whenever I sitting for long hours, I experience numbness. Is this a medical condition?",Multiple sclerosis
Could diarrhea be related to high sugar intake?,Crohns disease
"Whenever I exercising, I experience cough. Is this a medical condition?",Asthma
Could loss of appetite be related to alcohol consumption?,Hepatitis
I've had numbness since last night. Could it be due to lack of sleep?,Diabetes
Could bloating be related to high sugar intake?,IBS
I've had chest pain since last night. Could it be due to poor diet?,Heart attack
Experiencing fatigue along with mild discomfort. Do I need to see a doctor?,Hypothyroidism
"Whenever I exercising, I experience blurred vision. Is this a medical condition?",Glaucoma
Can insomnia be a sign of something serious?,Depression
I've been feeling nausea for the past few days. What could be the reason?,Acid reflux
Is it normal to have blurred vision along with fatigue?,Retinal detachment
"Whenever I exercising, I experience body aches. Is this a medical condition?",Lyme disease
I've had high fever since last night. Could it be due to seasonal changes?,Malaria
"Whenever I climbing stairs, I experience difficulty breathing. Is this a medical condition?",Pulmonary edema
"Recently, I noticed nausea, and it's getting worse. Should I be concerned?",Food poisoning
Could redness be related to alcohol consumption?,Rosacea
I've been feeling shortness of breath for the past few days. What could be the reason?,Pulmonary embolism
Could weight loss be related to alcohol consumption?,Diabetes
